50100;12;koniec
50200;12;koniec
50300;12;koniec
50400;11;koniec
50500;13;koniec
50700;11;koniec
51100;14;koniec
51200;14;koniec
51300;14;koniec
51800;14;koniec
52100;16;koniec
52200;16;koniec
52300;17;koniec
52400;18;koniec
52500;18;koniec
52600;18;koniec
52700;19;koniec
52800;19;koniec
53100;20;koniec
53200;20;koniec
53800;20;koniec
54100;24;koniec
54200;24;koniec
54300;26;koniec
54400;26;koniec
54500;26;koniec
54600;26;koniec
54700;25;koniec
54800;26;koniec
54900;26;koniec
55100;22;koniec
55300;23;koniec
55500;26;koniec
55700;26;koniec
56100;46;koniec
56200;51;koniec
56300;52;koniec
56400;53;koniec
56500;48;koniec
56600;47;koniec
56700;53;koniec
56800;54;koniec
56900;54;koniec
58200;26;koniec
58800;26;koniec
59100;58;koniec
59200;59;koniec
59300;58;koniec
59400;59;koniec
59500;58;koniec
59600;60;koniec
59700;26;koniec
59800;54;koniec
60100;4;koniec
60200;5;koniec
60400;3;koniec
60600;5;koniec
60700;3;koniec
61100;6;koniec
61200;6;koniec
61300;6;koniec
61400;6;koniec
62100;7;koniec
62200;7;koniec
62300;7;koniec
62400;7;koniec
64100;8;koniec
64200;8;koniec
64400;9;koniec
64500;9;koniec
64600;9;koniec
64800;9;koniec
65500;9;koniec
65700;9;koniec
66100;30;koniec
66200;41;koniec
66300;42;koniec
66400;43;koniec
66500;34;koniec
66600;38;koniec
66700;43;koniec
66800;44;koniec
68200;9;koniec
68800;9;koniec
69700;26;koniec
69800;54;koniec
