314;##########Tabulka F133_mzddmn
0;dm;nzdm;dndm;td;nap_zp;nap_np;nap_sp;nap_ip;nap_pn;nap_up;nap_gf;nap_rf;br;rh;do;ne;ho;np;prn;prm;prv;prs;sa;ko;sax;su;au;suc;auc;dm1;dm2;dm3;dm4;datm
1;302;UKOLOVE PREMIE;;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;1;0.0000;100;0;521;30;522;30;0;0;0;0;2019-05-23 10:06:29
1;303;CASOVE PREMIE;;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;0.0000;100;0;521;30;522;30;0;0;0;0;2019-05-23 10:06:29
1;304;MESACNE PREMIE;;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;0.0000;100;0;521;30;522;30;0;0;0;0;2019-05-23 10:06:29
1;308;VYKONOSTNE;;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;0.0000;100;0;521;30;522;30;0;0;0;0;2019-05-23 10:06:29
1;313;13. PLAT do500;;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;1;100.0000;0;0;521;0;522;0;0;0;0;0;2019-05-23 10:06:29
1;323;13. PLATnad500;;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;1;100.0000;0;0;521;30;522;30;0;0;0;0;2019-05-23 10:06:29
1;401;PODIELY;;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0.0000;100;0;431;40;431;40;0;0;0;0;2019-05-23 10:06:29
1;403;PREMIE Z FONDU;;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;1;0;0.0000;100;0;423;40;423;40;0;0;0;0;2019-05-23 10:06:29
1;404;MIMOR.ODM.FOND;;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;1;0;0.0000;100;0;427;40;427;40;0;0;0;0;2019-05-23 10:06:29
1;405;JUBILEA;;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0.0000;100;0;521;40;522;40;0;0;0;0;2019-05-23 10:06:29
1;406;ODMENY ZVL.PRED;;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;1;0;0.0000;100;0;427;40;427;40;0;0;0;0;2019-05-23 10:06:29
1;502;NEPL.VOLNO;;0;1;1;1;1;1;1;1;1;1;0;0;1;2;0;1;0;1;0;0.0000;100;0;0;0;0;0;0;0;0;0;2019-05-23 10:06:29
1;503;NEOM.ABSENCIA;;0;1;1;1;1;1;1;1;1;1;0;0;1;2;0;1;0;1;0;0.0000;100;0;0;0;0;0;0;0;0;0;2019-05-23 10:06:29
1;506;DOVOLENKA;;0;1;1;1;1;1;1;1;1;1;1;1;1;2;0;0;0;1;0;100.0000;20;0;521;50;522;50;0;0;0;0;2019-05-23 10:06:29
1;508;DOVOLENKA;;0;1;1;1;1;1;1;1;1;1;1;1;0;2;0;0;0;1;0;100.0000;20;0;521;50;522;50;0;0;0;0;2019-05-23 10:06:29
1;510;SVIATOK;;0;1;1;1;1;1;1;1;1;1;1;0;1;2;0;0;0;1;0;100.0000;20;0;521;50;522;50;0;0;0;0;2019-05-23 10:06:29
1;511;OBECNY ZAUJEM;;0;1;1;1;1;1;1;1;1;1;1;0;1;2;0;0;0;0;0;0.0000;50;0;521;50;522;50;0;0;0;0;2019-05-23 10:06:29
1;512;ZAKL.SLUZBA;;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;1;0;100.0000;20;0;521;50;522;50;0;0;0;0;2019-05-23 10:06:29
1;513;Nahrada 60%;;0;1;1;1;1;1;1;1;1;1;1;0;1;2;0;0;0;0;0;60.0000;20;0;521;50;522;50;0;0;0;0;2019-05-23 10:06:29
1;515;VOJ.CVICENIE;;0;1;1;1;1;1;1;1;1;1;1;0;1;2;0;0;0;1;0;100.0000;20;0;521;50;522;50;0;0;0;0;2019-05-23 10:06:29
1;516;STUDIUM;;0;1;1;1;1;1;1;1;1;1;1;0;1;2;0;0;0;1;0;100.0000;20;0;521;50;522;50;0;0;0;0;2019-05-23 10:06:30
1;517;SKOLENIE;;0;1;1;1;1;1;1;1;1;1;1;0;1;2;0;0;0;1;0;100.0000;20;0;521;50;522;50;0;0;0;0;2019-05-23 10:06:30
1;518;ZDRAV.ZARIAD;;0;1;1;1;1;1;1;1;1;1;1;0;1;2;0;0;0;1;0;100.0000;20;0;521;50;522;50;0;0;0;0;2019-05-23 10:06:30
1;519;DOPROVOD;;0;1;1;1;1;1;1;1;1;1;1;0;1;2;0;0;0;1;0;100.0000;20;0;521;50;522;50;0;0;0;0;2019-05-23 10:06:30
1;520;OSTATNE NAHR.;;0;1;1;1;1;1;1;1;1;1;1;0;1;2;0;0;0;1;0;100.0000;20;0;521;50;522;50;0;0;0;0;2019-05-23 10:06:30
1;529;CESTOVNE;;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0.0000;100;0;512;50;512;50;0;0;0;0;2019-05-23 10:06:30
1;531;PAUSAL.POPL.;;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0000;100;0;548;50;548;50;0;0;0;0;2019-05-23 10:06:30
1;540;ODSKODNE URAZU;;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.0000;100;0;512;50;512;50;0;0;0;0;2019-05-23 10:06:30
1;541;BOLESTNE;;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.0000;100;0;512;50;512;50;0;0;0;0;2019-05-23 10:06:30
1;592;ODHLASENIE ZP;;0;1;1;1;1;1;1;1;1;1;0;0;1;2;0;1;0;1;0;0.0000;100;0;0;0;0;0;0;0;0;0;2019-05-23 10:06:30
1;801;Nemoc.  NP55;;1;0;0;0;0;0;0;0;0;2;2;0;1;2;0;0;0;0;0;55.0000;60;0;336;80;336;80;0;0;0;0;2019-05-23 10:06:30
1;802;OCR     NP55;;1;0;0;0;0;0;0;0;0;2;2;0;1;2;0;0;0;0;0;55.0000;60;0;336;80;336;80;0;0;0;0;2019-05-23 10:06:30
1;803;Nemoc. Zam25;;1;0;0;0;0;0;0;0;0;2;2;0;1;2;0;0;0;0;0;25.0000;60;0;521;80;522;80;0;0;0;0;2019-05-23 10:06:30
1;804;Nemoc. Zam55;;1;0;0;0;0;0;0;0;0;2;2;0;1;2;0;0;0;0;0;55.0000;60;0;521;80;522;80;0;0;0;0;2019-05-23 10:06:30
1;806;URAZ PRACOVNY;;1;0;0;0;0;0;0;0;0;2;2;0;1;2;0;0;0;0;0;0.0000;100;0;548;80;548;80;0;0;0;0;2019-05-23 10:06:30
1;807;OSTATNY URAZ;;1;0;0;0;0;0;0;0;0;2;2;0;1;2;0;0;0;0;0;0.0000;100;0;336;80;336;80;0;0;0;0;2019-05-23 10:06:30
1;808;VYR.PRIS.V TEHO;;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0.0000;100;0;336;80;336;80;0;0;0;0;2019-05-23 10:06:30
1;809;MAT.DOVOLENKA;;1;0;0;0;0;0;0;0;0;2;2;0;1;2;0;0;0;0;0;0.0000;100;0;336;80;336;80;0;0;0;0;2019-05-23 10:06:30
1;810;SVP-140;;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0.0000;100;0;336;80;336;80;0;0;0;0;2019-05-23 10:06:30
1;811;POMOC V MATER.;;1;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0.0000;100;0;336;80;336;80;0;0;0;0;2019-05-23 10:06:30
1;812;MAT.PRISPEVOK;;1;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0.0000;100;0;336;80;336;80;0;0;0;0;2019-05-23 10:06:30
1;813;NARODENIE;;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0.0000;100;0;336;80;336;80;0;0;0;0;2019-05-23 10:06:30
1;814;POHREBNE;;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0.0000;100;0;336;80;336;80;0;0;0;0;2019-05-23 10:06:30
1;815;DOPRAVA-KUPELE;;1;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0.0000;100;0;336;80;336;80;0;0;0;0;2019-05-23 10:06:30
1;816;PRIDAVKY;;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0.0000;100;0;336;80;336;80;0;0;0;0;2019-05-23 10:06:30
1;818;DOPL.ROD.PRID.;;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0.0000;100;0;336;80;336;80;0;0;0;0;2019-05-23 10:06:30
1;822;DOPL.NEMOC.;;1;0;0;0;0;0;0;0;0;2;2;0;1;2;0;0;0;0;0;0.0000;100;0;336;80;336;80;0;0;0;0;2019-05-23 10:06:30
1;901;DAN Z PRIJMU;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;342;10;342;10;0;0;0;0;2019-05-23 10:06:30
1;902;Danovy bonus;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;342;10;342;10;0;0;0;0;2019-05-23 10:06:30
1;903;ROC.VYUCT.DANE;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;342;70;342;70;0;0;0;0;2019-05-23 10:06:30
1;904;Odvody FONDY;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;336;90;336;90;0;0;0;0;2019-05-23 10:06:30
1;905;DOPL.NP-DP;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;336;90;336;90;0;0;0;0;2019-05-23 10:06:30
1;906;DOPL.ZP;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;336;90;336;90;0;0;0;0;2019-05-23 10:06:30
1;907;ODV.FZ;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;336;70;336;70;0;0;0;0;2019-05-23 10:06:30
1;908;DOPL.FZ;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;336;70;336;70;0;0;0;0;2019-05-23 10:06:30
1;909;NAP.OPATRENIE;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;379;50;379;50;0;0;0;0;2019-05-23 10:06:30
1;910;VYZIVNE;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;379;50;379;50;0;0;0;0;2019-05-23 10:06:30
1;911;ELEKTRINA;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;379;50;379;50;0;0;0;0;2019-05-23 10:06:30
1;912;DAN JEDNOR.MZDA;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;342;50;342;50;0;0;0;0;2019-05-23 10:06:30
1;913;NAJOM OSTATNY;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;379;50;379;50;0;0;0;0;2019-05-23 10:06:30
1;914;POISTENIE ZPP;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;379;50;379;50;0;0;0;0;2019-05-23 10:06:30
1;915;NAJOM;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;379;50;379;50;0;0;0;0;2019-05-23 10:06:30
1;916;POD.SPORENIE;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;379;50;379;50;0;0;0;0;2019-05-23 10:06:30
1;917;OST.ZRAZKY;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;379;50;379;50;0;0;0;0;2019-05-23 10:06:30
1;918;POZICKY SPOR.;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;379;50;379;50;0;0;0;0;2019-05-23 10:06:30
1;919;FKSP;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;379;50;379;50;0;0;0;0;2019-05-23 10:06:30
1;920;PRISP.ODBORY;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;379;50;379;50;0;0;0;0;2019-05-23 10:06:30
1;921;KOR.VYROVNANIE;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;379;50;379;50;0;0;0;0;2019-05-23 10:06:30
