318;##########Tabulka F73_zdravpois
0;zdrv;nzdr;uceb;numb;iban;vsy;ksy;ssy;anl;pz1;pz2;pz3;pz4;pz5;pt1;pt2;pt3;datm
1;0;Žiadna ZP;0;0;;0;;;0;0;0;0;0;0;;;;2012-12-30 15:30:39
1;2400;Dôvera ZP;0;0;;1234567800;;;0;0;0;0;0;0;;;;2012-12-30 15:30:39
1;2508;VŠZP;0;0;;1234567800;;;0;0;0;0;0;0;;;;2012-12-30 15:30:39
1;2700;UNION ZP;0;0;;1234567800;;;0;0;0;0;0;0;;;;2012-12-30 15:30:39
